Time resolution is 1 ps
[1408.00 ns] Correct Result! A=00000110(   6)	 B=11110101( -11)	 OP=SQR		 Result=00100100(  36)	 Golden=00100100(  36)
[1424.00 ns] Correct Result! A=00001011(  11)	 B=00001000(   8)	 OP=MUL		 Result=01011000(  88)	 Golden=01011000(  88)
[1440.00 ns] Correct Result! A=00001011(  11)	 B=00000010(   2)	 OP=ADD		 Result=00001101(  13)	 Golden=00001101(  13)
[1456.00 ns] Correct Result! A=11111101(  -3)	 B=00001011(  11)	 OP=MUL		 Result=11011111( -33)	 Golden=11011111( -33)
[1472.00 ns] Correct Result! A=11111110(  -2)	 B=00001101(  13)	 OP=ADD		 Result=00001011(  11)	 Golden=00001011(  11)
[1488.00 ns] Correct Result! A=00001000(   8)	 B=00000001(   1)	 OP=MUL		 Result=00001000(   8)	 Golden=00001000(   8)
[1504.00 ns] Correct Result! A=11110001( -15)	 B=11111011(  -5)	 OP=ADD		 Result=11101100( -20)	 Golden=11101100( -20)
[1520.00 ns] Correct Result! A=00000011(   3)	 B=11110110( -10)	 OP=SQR		 Result=00001001(   9)	 Golden=00001001(   9)
[1536.00 ns] Correct Result! A=11110010( -14)	 B=11110100( -12)	 OP=SQR		 Result=11000100( -60)	 Golden=11000100( -60)
[1552.00 ns] Correct Result! A=11111000(  -8)	 B=00000010(   2)	 OP=ADD		 Result=11111010(  -6)	 Golden=11111010(  -6)
[1568.00 ns] Correct Result! A=11111001(  -7)	 B=11110101( -11)	 OP=SUB		 Result=00000100(   4)	 Golden=00000100(   4)
[1584.00 ns] Correct Result! A=00001011(  11)	 B=00000001(   1)	 OP=ADD		 Result=00001100(  12)	 Golden=00001100(  12)
[1600.00 ns] Correct Result! A=00000111(   7)	 B=00000001(   1)	 OP=SQR		 Result=00110001(  49)	 Golden=00110001(  49)
[1616.00 ns] Correct Result! A=11110100( -12)	 B=00001000(   8)	 OP=MUL		 Result=10100000( -96)	 Golden=10100000( -96)
[1632.00 ns] Correct Result! A=00000100(   4)	 B=11110010( -14)	 OP=MUL		 Result=11001000( -56)	 Golden=11001000( -56)
[1648.00 ns] Correct Result! A=11110001( -15)	 B=00000101(   5)	 OP=SUB		 Result=11101100( -20)	 Golden=11101100( -20)
Test PASSED!         100 out of         100 tests are matching golden outputs!
$stop called at time : 1648 ns : File "C:/Users/g55wang/Downloads/ece327-s2026-lab1/lab1/tb/alu_tb.sv" Line 130
